,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Es wird schnell heilen.,راح يطيب بسرعة,rah yetib besora'a,It will heal quickly.,Ça va guérir rapidement.,Hitro se bo pozdravilo.,Het zal snel genezen.,,ቐልቲፉ ክሓዊ እዩ፥,Keltifu kihawi eyu.,,,খুব দ্রুতই এটা ঠিক হয়ে যাবে ,khub drutoi eta thik hoye jabe,,این بزودی  بهتر می شود.,,Do të shërohet shumë shpejt,Brzo će zarasti.,Бргу ќе зарасне. (Brgu kje zarasne),,,Guarira' presto.,,Brzo shte mine. / Бързо ще мине.,,S: Det kommer att läka snabbt. N: Det vil gro fort. ,Se tulee paranemaan nopeasti.,,,Çabuk iyileşecek.,Se curará rápido,Gyorsan meg fog gyógyulni.,Vai curar-se depressa,Tha perasi grigora.,Θα περάσει γρήγορα.,Se va vindeca repede.,Tai greit sugis,Gagaling po 'yan ng mabilis,,To się szybko zagoi.,
Sie wird in Ordnung sein / Er wird in Ordnung sein,هى راح تكون منيحة / هو راح يكون منيح,hiye rah itkun mniha(f)/hu'wi rah ykon mnih (m),She will be OK / He will be OK,Elle va aller mieux / Il ira mieux,Ona bo v redu/On bo v redu.,Met hem /haar komt alles goed.,,ደሓን ክከዉን/ክትከውን እዩ/እያ፥,Dehan kikewin/kitkewn eyu/eya.,,,আপনি ঠিক হয়ে যাবেন ,apni thik hoye jaben,,همه چیز خوب خواهد شد,,Ajo do jetë mirë/Ai do jetë mirë,Ona (on) će biti dobro.,Таа (тој) ќе биде добро. (Taa (toj) kje bide dobro),,,Andra' tutto bene.,,Tia shte bade dobre. Toi shte bade dobre. / Той ще бъде дожре. Тя ще бъде добре.,,S: Hon kommer att bli bra / Han kommer att bli bra N: Hun/Han vil bli bra.,Hän tulee olemaan kunnossa.,,,O iyi olacak.,Ella estará bien/El estará bien.,Rendben lesz.,Vai ficar bem.,Tha ine entaksi.,Θα είναι εντάξει.,Ea/El va fi bine,Jai viskas bus gerai / Jam viskas bus gerai,Magiging maayos po siya,,Wszystko będzie z nią w porządku./Wszystko będzie z nim w porządku.,
Ich freue mich Sie zu sehen.,انا مبسوط اني شفتك ,ana mabsoota ini shoftak,I'm happy to see you.,Je suis content(e) de vous voir.,"Veseli me, da vas vidim.",Ik ben blij je te zien.,,ንዓኻ ምርኣየይ ሕጉስ እየ፥,niacha me´rayey H´gus eyu.,,,আপনাকে দেখে খুব ভালো লাগছে ,apnake dekhe khub bhalo lagchhe,,من خوشحالم که شما را ببینم.,,Jam e lumtur t'iu shoh.,Drago mi je što Vas vidim.,Мило ми е што Ве гледам. (Milo mi e shto Ve gledam),,,Sono felice di vederti.,,Radvam se da vi vidia. / Радвам се да ви видя.,,S: Jag är glad att se dig. N: Jeg er glad å se deg. ,Hauska tavata teidät.,,,Seni gördüğüme sevindim.,Estoy feliz de verle.,"Örülök, hogy látlak.",Estou feliz por vê-lo(a).,Herome pu sas vlepo.,Χαίρομαι που σας βλέπω.,Mă bucur să vă văd.,Džiaugiuosi Jus matyti,Ikinagagalak ko po kayong makilala,,"Cieszę się, że cię widzę.",
"Passen Sie auf Sich auf, und alles Gute.",دير بالك على حالك وبتمنالك الخير,dir balak ala halak o batmanalak alkhier,Take care and all the best,"Prenez soin de vous, et meilleurs voeux.",Pazite nase in srečno.,Pas op jezelf en het allerbeste,,ጽቡቕ ዕድል፥,Tsibuk edil.,,,"নিজের দিকে খেয়াল রাখবেন, আর ভালো থাকবেন ","nijer dike kheyal rakhben, ar bhalo thakben",,مواظب خودتان باشيد.,,Kujdesuni për vehten dhe gjithë të mirat.,Držite se i sretno.,Држете се и сретно. (Drzhete se i sretno).,,,"Fai attenzione, e buona fortuna.",,Pazete se i vsichko dobro! / Пазете се и всичко добро! ,,S: Sköt om dig och allt gott N: Ta vare på deg og alt det beste.,pitäkää huolta itsestänne ja kaikkea hyvää,,,"Kendine iyi bak, bol şanslar!",Cuídese y le deso todo lo mejor,"Vigyázz magadra, minden jót.","Cuide de si, boa sorte!","Na prosehete, kali tihi.","Να προσέχετε, καλή τύχη.",Aveți grijă şi toate cele bune.,Sėkmės ir viso geriausia,"Sige po, ingat!",,Trzymaj się i powodzenia!,
"Schreiben Sie mir wenn Sie können, hier ist meine Adresse.",راسلني لما تقدر، هادا عنواني ,"raslni lama teqdar, hada a'anwani","Write to me when you can, here is my address","Écrivez-moi quand vous pouvez, voici mon adresse","Pište mi, ko utegnete, tu je moj naslov.",Je kunt mij schrijven als je wilt. Hier is mijn adres.,,ኣብ ዝጠዓመካ ጸሓፈለይ፥ ኣድራሻይ እንሀልካ፥,Ab ziteameka Tsehafely. Adrashay enehalka.,,,"যদি পারেন আমাকে লিখবেন, এইযে আমার ঠিকানা","jodi paren, to amake likhben, ei je amar thikana",,  اگر می توانید لطفان با من تماس بگیرید این آدرس من است.,,"Më shkruani kur të mundeni, këtu është adresa ime","Pišite mi kad stignete, ovo je moja adresa.","Пишете ми кога стигнете, овде е адресата. (Pishete mi koga stignete, ovde e adresata)",,,"Scrivimi quando puoi, questo e' il mio indirizzo.",,"Pishete mi kogato uspeete, tova e moiat adres. / Пишете ми, когато успеете, това е моят адрес.",,"S: Skriv till mig när du kan, här är min adress N: Skriv til meg når du har mulighet, her er min adresse",Kirjoittaa minulle kun voitte. Tämä on osoitteeni.,,,"Fırsat olunca yaz, adresim bu.","Escríbame cuando pueda, aquí está mi dirección.","Írjál, ha tudsz! Itt a címem.","Escreva-me quando puder, aqui está a minha morada.","Grapste mu an borite, afti ine i diefthinsi mu.","Γράψτε μου αν μπορείτε, αυτή είναι η διεύθυνσή μου.","Scrieți-mi când puteți, iată adresa mea.","Parašykite man, kai galėsite. Tai mano adresas.","Sulatan po ninyo ako, narito po ang address ko",,"Napisz do mnie, kiedy będziesz mógł/mogła (f). Tu jest mój adres:...",
Was ist passiert?,شو صار,Schou saar /  Madha hassal,What happened?,Qu’est-ce qui s’est passé?,Kaj se je zgodilo?,Wat is er gebeurd?,,እንታይ ደኣ ተረኺቡ፧,Entay dea Terechibu?,,"kya huwa?
کیا ہوا؟
",কী হয়েছে?,ki hoyechhe?,"chi shodeh?
چی شده؟","Chi shod?
چی شد؟",څه شو؟     ?tsa sho,Çfarë ka ndodhur,Što se dogodilo?,Што се случило? (Shto se sluchilo?),Что случилось?,"S: Čo sa stalo?
C: Co se stalo?",Cos’è successo?,چی رویدا؟,Kakvo se e sluchilo_ / какво се е случило?,Çi bû?,"S: Vad har hänt?
N: Hva har skjedd?
D: Hvad er der sket?",Mitä on tapahtunut?,,Deεn na εresie?,Ne oldu?,¿Qué pasó?,Mi történt?,O que aconteceu?,Tí sinévi?,Τί συνέβη;,Ce se intampla?,Kas nutiko?,Ano po ang nangyari?,,Co się stało?,
Ich weiß nicht.,ما يعرف ,Ma Baáref  / La Aáref,I don’t know,Je ne sais pas,Ne vem,Ik weet het niet.,,ኣይፈለጥኩን,Ayfeletkun,,"Mujhe nahi malum
مجھے نہیں معلوم",আমি জানিনা ,ami janina,"nemidoonam
نمی دونم","Namedaanam
نمی دانم",نه پوهېږم    na puyegam,Nuk e di,Ne znam.,Не знам (Ne znam),Я не знаю,"S: Neviem
C: Nevím",Non lo so,من نازانم,Ne znam / Не знам,Ez nizanim.,"S: Jag vet inte
N: Jeg vet ikke
D: Jeg ved det ikke",En tiedä.,Ég veit ekki,Mennim,Bilmiyorum,No sé,Nem tudom,Não sei,Den kséro,Δεν ξέρω,Nu stiu,Nežinau,Hindi ko po alam,,Nie wiem,
Es gibt leider nichts mehr.,   ما ظل شي ,Ma Dal Schi / Assef lam Yabka shi,"Sorry, there is nothing left.","Désolé, il ne reste plus rien.",Žal je zmanjkalo / Žal ni več,Er is helaas niets meer.,,ይቕረታ። ዝተረፈ የለን,Yikreta. Ziterefe yelen,,"Mazarat, koi cheze yahan nahi hai معذرت ، کوئی  چیزیں یہاں ناهی ہیں

   
",আর কিছু অবশিষ্ট নেই ,ar kichhu (oboshishto) nei ,Motazefan inja hichchize digar wojud nadarad.                       متاسفانه اینجا هیچ جیز دیگر وجود ندارد.,Motazefan inja hichchize digar wojud nadarad.     متاسفانه اینجا هیچ جیز دیگر وجود ندارد.,,"Më falni, nuk ka mbetur gjë","Na žalost, nema više ničega.","Извинете, немаме ништо (Izvinete, nemame nishto)",,,"Mi dispiace, non è rimasto più niente",,"Suzhaliavam, svurshi / Съжалявам, свърши",,S: Tyvärr finns inget kvar N: Dessverre er ingenting igjen,Valitettavasti ei ole enää mitään jäljellä.,,,Maalesef hiç bir şey kalmadı.,"Disculpe, no queda nada. ",Sajnos nincs több,Infelizmente já não há mais.,Distixòs den èxi mìni àlo,Δυστυχώς δεν έχει μείνει άλλο,"Ne pare rău, nu a mai rămas nimic.","Atsiprašau, nieko nebeliko","Pasensiya na po, wala nang natira",,"Przykro mi, nic już nie zostało",
danke,شكراً,shokran,thank you,merci,Hvala,Dank u/je wel,,ምስጋና ፨ የቀንየለይ,Ms´gana / yekenyeley,,,ধন্যবাদ ,dhonnobad,,تشکر,,Ju faleminderit,Hvala,Фала / Благодарам (Fala / Blagodaram),,Ďakujem,grazie,,Blagodaria. / Благодаря.,,S: Tack (så mycket) N: Tusen Takk,Kiitos,Takk,,Teşekkürler,gracias,Köszönöm.,Obrigado/Obrigada,Efharistò,Ευχαριστώ,Mulțumesc,Ačiū,Salamat po,,Dziękuję.,
Bitte,عفواً,afwan,Please,s'il vous plait,Prosim,Alstublieft,,በጃኺ ፨ በጃኻ,bejakhi / bejakha,,,প্লীজ ,please,,لطفان,,Ju lutem,Molim,Молам (molam),,,per favore,,Molya. / Моля.,,S: Snälla N: Vær så snill,Ole hyvä,,,Lütfen,por favor,Kérem / kérlek,Por favor,Parakalò,Παρακαλώ,Vă rog,Prašau,Pakiusap po,,Proszę.,
Willkommen,اهلا وسهلا,Ahlan wa sahlan,Welcome,bienvenue,Dobrodošli,welkom,,መርሓባ,merhaba,,,স্বাগতম ,shagotom ,,خوش آمد,,Ju lutem/Mirëserdhët,Dobrodošli,(Dobredojdovte),,,benvenuto,,Dobre doshli! / Добре дошли!,,S: Välkommen N: Velkommen,Tervetuloa,Velkomin(n),,Hoşgelidiniz,bienvenido/a,Isten hozott!,Bem-vindo(s) [m] / Bem-vinda(s) [f],Kalosìrthate,Καλωσήρθατε,Cu plăcere,Sveiki,Mabuhay,,Witam,
Kann ich Ihnen helfen?,بقدر اساعدك؟,Bi'adar sa'dak,Can I help you?,Puis-je vous aider?,Vam lahko pomagam?,Kan ik u helpen?,,ክሕግዘካ´ዶ ይኽእል፧,khegzeka´do ychiel?,,,আমি কি আপনাকে সাহায্য করতে পারি?,ami ki apnake shahajjo korte pari?,,می توانم به شما کمک کنم؟,,A mund t'iu ndihmoj?,Mogu li Vam pomoći? / Mogu li ti pomoći?,Дали можам да Ви помогнам? / Дали можам да ти помогнам? (Dali mozham da Vi pomognam? / Dali mozham da ti pomognam),,,posso aiutare?,,Moga li da vi pomogna? /Мога ли да ви помогна?,,S: Kan jag hjälpa dig? N: Kan jeg hjelpe deg?,Voinko auttaa teitä?,,,Yardım edebilirmiyim?,¿Puedo ayudarle?,Segíthetek?,Posso ajudar?,Βorò na sas voithìso?,Μπορώ να σας βοηθήσω;,Pot sa vă/te ajut?,Ar galiu Jums padėti?,Puwede po ba kitang matulungan?,,Mogę ci pomóc?,
Nehmen Sie,خود / اتفضل ,khod/ Itfadal,take this,prenez,Vzemite,Neemt u ,,ወሰድ,wesed,,,নিন ,nin,,   لطفان بگیرید,,Merre,Uzmite / uzmi,Земете / Земи. (Zemete / Zemi),,,prendi,,Vzemete. Vzemi. / Вземете. Вземи.,,S: Ta denna/detta N: Ta denne/dette,Ottakaa.,,,al,tome,Vegye el.,Toma.,Pàrte [pl]/ pàre,Πάρτε [pl] / πάρε,Luați/ Ia,Imkite,Kunin po ninyo,,Proszę to wziąć.,
Das ist gut,هادا منيح ,hatha mnih,That's good,C'est bien / C'est bon,To je dobro,Dat is prima/goed,,እዚ ጽቡቅ ኢዩ,ezi tsbuq iyu,,,এটা বেশ ভালো ,eta bhalo,,خوب است,,Kjo është e mirë,Ovo je dobro,Ова е добро. (Ova e dobro),,,è buono,,Tova e dobre./ това е добре. ,,S: Det här är bra N: Dette er bra,Tämä on hyvä.,,,bu iyi,esto es bueno,Ez jó.,Isto é bom / É bom.,Afto ine kalo.,Αυτό είναι καλό.,Asta este bine,Tai yra gerai,Maganda/Ayos ito,,To dobrze.,
entschuldigung,اسف,aseef,Sorry,pardon,Oprostite,Sorry/Pardon,,ይቕረታ,(jirireta),,,মাফ করবেন ,maf korben,,ببخش/متاسف,,Më vjen keq,Oprostite,Извинете. (Izvinete),,,scusa,,Izviniavayte. / Извинявайте.,,S: Förlåt N: Unnskyld,Anteeksi,,,özür dilerim,disculpe,Bocsánat,Desculpa,Signomi,Συγγνώμη,Scuze,Atsiprašau,Paumanhin po,,Przepraszam.,
Wie geht's?,كيف حالك؟,kif halak(m)/halek(f),How are you?,Comment allez vous? Comment vas tu?,Kako gre?,Hoe gaat het?,,ከመይ ኣለኻ፧,kemey al-echa?,,,কেমন আছ?,kemon achho?,,حال شما چطور است,,Si jeni?,Kako ste?,Како сте? (Kako ste?),,,come stai?,,Kak ste? / Как сте?,,S: Hur mår du? N: Hvordan går det?,Miten voit?,,,nasilsin?,¿cómo está?,Hogy vagy?,Como está?,Ti kánis?,Τι κάνεις;,Ce faci?,Kaip jūs?,Kamusta po kayo?,,Jak się masz?,
Es muss Ihnen nicht leid tun,ما لازم تتأسف على شي,ma lazem titassaf,Don't be sorry,ne soyez pas désolée,Naj vam ne bo žal,Je hoeft je niet te verontschuldigen,,ዘሕፍር የብሉን፥,zehfr yeblun,,,,,,"لازم نیست که ""ببخش""  بگوید",,Mos t'iu vijë keq,Neka vam ne bude žao.,Нека не ви биде жал. (Neka ne vi bide zhal),,,,,Ne suzhaliavaite. Ne suzhaliavai. / Не съжалявайте. Не съжалявай.,,,,,,Üzülme / Merak etme,No te disculpes,Nem kell elnézést kérni.,,Mi zitate signómi [pl] / Mi zitas signomi.,Μη ζητάτε συγγνώμη [pl]/ Μη ζητάς συγγνώμη.,Nu trebuie să vă / îți pară rău,Nereikia atsiprašyti,Huwag po kayo magpaumanhin,,,
Was möchten Sie?,شو بدك / شو بتحب ,Shou biddak(m)/ biddek(f),What do you want?,Que voulez-vous?,Kaj želite?,Wat wil je (hebben)?/ Wat wilt U (hebben)?,,እንታይ ትደሊ ኣለኻ,entay tdeli alecha,,,আপনি কী চাইছেন?,apni ki chaichhen?,,شما چی می خواهید؟,,Çfarë dëshironi?,Što želite?,Што сакате? (Shto sakate?),,,cosa ti serve?,,Kakvo iskate? Kakvo iskash? Какво искате? Какво искаш?,,S: Vad vill du ha? N: Hva ønsker du?,Mitä te haluaisitte?,,,ne istiyorsun?,¿Qué desea?,Mit szeretne?,O que quer?,Ti thèlete? [pl] / Ti thèlis?,Τι θέλετε; [pl]/ Τι θέλεις;,Ce doriți/doreşti?,Ko norėtumėte?,Ano po ang gusto niyo?,,Czego byś chciał/chciała (f)? / Czego byście chcieli? (pl),
Was brauchen Sie?,,,What do you need?,De quoi avez-vous besoin?,Kaj potrebujete?,Wat heeft u nodig?,,እንታይ ትደሊ ኣለኻ,entay tdeli alecha,,,আপনার কী লাগবে?,apnar ki lagbe?,,چی نیاز دارید؟,,,,,,,,,Kakvo Vi triabva? Kakvo ti triabva? Какво Ви трябва? Какво ти трябва?,,S: Vad behöver du? N: Hva trenger du?,Mitä te tarvitsette?,,,neye ihtiyacin var?,¿Qué necesita?,,O que precisa?,Ti khriázeste?,Τι χρειάζεστε;,,Ko Jums reikia?,,,Czego potrzebujesz? / Czego potrzebujecie? (pl),
Ich kann Ihnen leider nicht helfen.,,,I can't help you unfortunately.,"Malheureusement, je ne peux pas vous aider.",Na žalost vam ne morem pomagati.,,,ክሕግዘካ ኣይክእልን ኢየ፥,kihgzeka aykelin iye.,,,আমি তো আপনাকে দুর্ভাগ্যবশত সাহায্য করতে পারছি না,ami apnake shahjjo korte parchhina,,,,,,,,,,,"Ne moga da vi pomogna, za sushalenie. / Не мога да ви помогна, за съжаление.",,S: Jag kan tyvärr inte hjälpa dig. N: Jeg kan dessverre ikke hjelpe deg. ,Valitettavasti en voi auttaa teitä.,,,,,,,,,,,,,Niestety nie mogę ci/wam (pl) pomóc.,
